manufacturer,model_name,screen_size_inches,screen,cpu,ram_GB,storage,os,os_version,weight,price_euros,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz
HP,Spectre x360,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1TB SSD,Windows,10,1.29kg,"2449,00",Intel,Intel,3840,2160,1.8
Lenovo,ThinkPad 13,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4,16GB Flash Storage,Chrome OS,Version Unknown,1.45kg,"459,90",Intel,Intel,1366,768,1.6
HP,ProBook 640,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.95kg,"980,00",Intel,Intel,1920,1080,2.5
Acer,TravelMate B,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,128GB Flash Storage,Windows,10,1.4kg,"485,00",Intel,Intel,1366,768,1.6
HP,Elitebook 840,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.48kg,"1292,00",Intel,Intel,1920,1080,2.7
Lenovo,IdeaPad 320-17IKB,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Windows,10,2.79kg,"589,00",Nvidia,Intel,1600,900,2.5
Asus,ZenBook UX410UA-GV183T,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,2kg,"1094,00",Intel,Intel,1920,1080,2.7
HP,ProBook 450,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,2.1kg,"902,00",Intel,Intel,1366,768,1.8
Acer,Aspire 5,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8,256GB SSD,Windows,10,2.2kg,"659,00",AMD,AMD,1366,768,2.7
Lenovo,IdeaPad 120S-14IAP,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Windows,10,1.44kg,"292,00",Intel,Intel,1366,768,1.1
Acer,Aspire E5-575,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6,1TB HDD,Windows,10,2.23kg,"549,00",Intel,Intel,1366,768,2.5
Asus,VivoBook S15,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.7kg,"1049,90",Nvidia,Intel,1920,1080,2.7
HP,Elitebook 820,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.26kg,"1335,00",Intel,Intel,1920,1080,2.7
Dell,XPS 15,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1TB SSD,Windows,10,2.06kg,"2639,00",Nvidia,Intel,3840,2160,2.8
Micro-Star International,GL72M 7REX,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD +  1TB HDD,Windows,10,2.7kg,"1199,00",Nvidia,Intel,1920,1080,2.8
Toshiba,Satellite Pro,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,2.0kg,"943,00",Intel,Intel,1920,1080,2.5
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD +  1TB HDD,Windows,10,2kg,"1334,00",Intel,Intel,1920,1080,2.7
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,1.85kg,"449,00",Intel,Intel,1920,1080,2.0
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Windows,10,2.5kg,"999,00",Nvidia,Intel,1920,1080,2.8
HP,EliteBook 840,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Windows,10,1.48kg,"1268,00",Intel,Intel,1920,1080,2.6
Dell,Inspiron 7570,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,1.9kg,"1049,00",Nvidia,Intel,1920,1080,1.6
HP,Elitebook 850,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.84kg,"1144,00",Intel,Intel,1920,1080,2.5
Asus,X541NA (N3350/4GB/1TB/Linux),15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Linux,Version Unknown,2kg,"274,99",Intel,Intel,1366,768,1.1
Dell,Inspiron 7570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2kg,"1142,75",Nvidia,Intel,1920,1080,1.6
Dell,Inspiron 3552,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Linux,Version Unknown,2.2kg,"274,90",Intel,Intel,1366,768,1.6
Lenovo,IdeaPad 320-15ABR,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12,2TB HDD,Windows,10,2.2kg,"899,00",AMD,AMD,1920,1080,3.6
HP,ProBook 450,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Windows,10,2.1kg,"716,00",Nvidia,Intel,1920,1080,2.4
Lenovo,Yoga 920-13IKB,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.4kg,"2099,00",Intel,Intel,3840,2160,1.8
Dell,XPS 13,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.2kg,"1579,00",Intel,Intel,1920,1080,1.8
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.4kg,"1129,00",Nvidia,Intel,1920,1080,2.8
HP,Stream 14-AX001nv,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Windows,10,1.44kg,"279,00",Intel,Intel,1366,768,1.6
Dell,Latitude 5590,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16,512GB SSD +  256GB SSD,Windows,10,1.88kg,"1607,96",Intel,Intel,1920,1080,1.9
Asus,VivoBook Flip,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Windows,10,1.5kg,"375,00",Intel,Intel,1366,768,1.1
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,1.9kg,"663,00",AMD,Intel,1920,1080,1.6
Dell,XPS 15,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Windows,10,2.06kg,"2027,42",Nvidia,Intel,3840,2160,2.8
HP,Elitebook 850,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.84kg,"1304,00",Intel,Intel,1920,1080,2.7
Micro-Star International,GP72MVR 7RFX,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.7kg,"1409,00",Nvidia,Intel,1920,1080,2.8
HP,Zbook 15,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Windows,10,2.6kg,"1738,27",Nvidia,Intel,1920,1080,2.8
Toshiba,Tecra A50-C-21G,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Windows,10,2.4kg,"1403,00",Nvidia,Intel,1920,1080,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  2TB HDD,Windows,10,2.02kg,"970,90",AMD,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-15IAP,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,No OS,Version Unknown,2.2kg,"321,99",Intel,Intel,1366,768,1.1
Dell,Inspiron 7577,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Windows,10,2.65kg,"999,00",Nvidia,Intel,1920,1080,2.5
Dell,Inspiron 3567,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Windows,10,2.36kg,"557,37",Intel,Intel,1366,768,2.5
Dell,Latitude 7480,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Windows,10,1.36kg,"1427,00",Intel,Intel,1920,1080,2.6
HP,250 G6,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,1.86kg,"439,00",Intel,Intel,1366,768,2.0
Asus,Zenbook UX410UA-GV027T,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,2kg,"945,00",Intel,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-17IKB,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,128GB SSD +  1TB HDD,Windows,10,2.8kg,"719,00",Nvidia,Intel,1600,900,2.5
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,1.86kg,"639,00",Intel,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15ISK,15.6,1366x768,Intel Core i3 6006U 2GHz,8,256GB SSD,No OS,Version Unknown,2.2kg,"499,00",Nvidia,Intel,1366,768,2.0
HP,15-AY023na (N3710/8GB/2TB/W10),15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8,2TB HDD,Windows,10,2.04kg,"389,00",Intel,Intel,1366,768,1.6
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,2.8kg,"1085,00",AMD,Intel,1920,1080,1.6
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,No OS,Version Unknown,2.4kg,"809,00",Nvidia,Intel,1920,1080,2.5
Dell,Inspiron 5567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,2.33kg,"899,00",AMD,Intel,1920,1080,2.7
HP,Elitebook 1040,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.36kg,"1750,00",Intel,Intel,1920,1080,2.7
Asus,ZenBook Flip,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,512GB SSD +  2TB HDD,Windows,10,2.26kg,"1099,00",Nvidia,Intel,1920,1080,2.7
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,128GB SSD,Windows,10,2.1kg,"426,00",AMD,AMD,1366,768,3.0
Asus,Rog Strix,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256GB SSD +  1TB HDD,Windows,10,3.25kg,"2199,00",AMD,AMD,1920,1080,3.0
Lenovo,IdeaPad 110-17ACL,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4,128GB SSD,Windows,10,2.6kg,"489,00",AMD,AMD,1600,900,2.2
Dell,Inspiron 5379,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.62kg,"869,01",Intel,Intel,1920,1080,1.8
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256GB SSD,Windows,10,1.91kg,"488,99",AMD,AMD,1920,1080,3.0
Lenovo,Yoga 11e,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4,128GB SSD,Windows,10,1.59kg,"553,00",Intel,Intel,1366,768,1.1
Dell,Inspiron 3552,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4,500GB HDD,Windows,10,1.8kg,"309,00",Intel,Intel,1366,768,1.6
Asus,VivoBook E403NA,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Windows,10,1.5kg,"286,00",Intel,Intel,1366,768,1.1
Acer,Aspire 7,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Linux,Version Unknown,2.4kg,"846,00",Nvidia,Intel,1920,1080,2.8
HP,Omen 17-w212nv,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,3.35kg,"1191,00",Nvidia,Intel,1920,1080,2.8
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,No OS,Version Unknown,1.85kg,"403,50",Intel,Intel,1920,1080,2.0
Asus,ROG Strix,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.3kg,"1655,00",Nvidia,Intel,1920,1080,2.8
Lenovo,IdeaPad 720S-14IKB,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.5kg,"1099,00",Nvidia,Intel,1920,1080,2.5
Asus,Zenbook Flip,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Windows,10,1.1kg,"1748,90",Intel,Intel,1920,1080,2.7
Lenovo,Thinkpad X1,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Windows,10,1.13kg,"2282,00",Intel,Intel,2560,1440,2.7
Lenovo,Ideapad 510S-13IKB,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,128GB SSD,Windows,10,1.5kg,"549,00",Intel,Intel,1920,1080,2.4
Dell,Precision 3510,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8,500GB HDD,Windows,10,2.23kg,"1369,00",AMD,Intel,1920,1080,2.6
Dell,Precision 5520,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8,256GB SSD,Windows,10,2kg,"2135,00",Nvidia,Intel,1920,1080,2.7
Lenovo,ThinkPad X1,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Windows,10,1.42kg,"2509,00",Intel,Intel,2560,1440,2.7
Asus,Rog GL753VD-GC042T,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Windows,10,3kg,"1039,00",Nvidia,Intel,1920,1080,2.8
Asus,Rog GL753VE-GC070T,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,3kg,"1591,00",Nvidia,Intel,1920,1080,2.8
Acer,Aspire 5,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Windows,10,2.2kg,"693,99",Nvidia,Intel,1366,768,1.6
Micro-Star International,Leopard GP72M,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Windows,10,2.7kg,"1349,00",Nvidia,Intel,1920,1080,2.8
Dell,Inspiron 5567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Linux,Version Unknown,2.33kg,"778,87",AMD,Intel,1920,1080,2.7
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256GB SSD,Windows,10,1.91kg,"499,00",AMD,AMD,1920,1080,3.0
Lenovo,ThinkPad E580,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.1kg,"1229,56",AMD,Intel,1920,1080,1.8
Lenovo,ThinkPad L470,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.9kg,"938,00",Intel,Intel,1920,1080,2.5
Dell,Precision M5520,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Windows,10,1.78kg,"2712,00",Nvidia,Intel,3840,2160,2.8
Lenovo,Thinkpad X1,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16,1TB SSD,Windows,10,1.13kg,"2625,00",Intel,Intel,2560,1440,2.7
Lenovo,IdeaPad 320-15IAP,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Windows,10,2.2kg,"306,00",Intel,Intel,1366,768,1.1
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.9kg,"1529,00",Nvidia,Intel,1920,1080,2.8
Lenovo,ThinkPad E580,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD +  1TB HDD,Windows,10,2.1kg,"1144,50",AMD,Intel,1920,1080,1.6
Acer,Aspire 7,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Linux,Version Unknown,2.5kg,"879,00",Nvidia,Intel,1920,1080,2.8
Micro-Star International,GE73VR 7RF,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.8kg,"2249,00",Nvidia,Intel,1920,1080,2.8
Asus,Zenbook 3,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Windows,10,1.10kg,"1873,00",Intel,Intel,1920,1080,2.7
Toshiba,Portege Z30-C-16P,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Windows,10,1.2kg,"1747,00",Intel,Intel,1920,1080,2.5
Dell,Latitude 7480,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,512GB SSD,Windows,10,1.36kg,"1680,00",Intel,Intel,1920,1080,2.8
Lenovo,IdeaPad 320-15ISK,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,2.2kg,"409,00",Intel,Intel,1920,1080,2.0
Lenovo,Lenovo IdeaPad,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32GB Flash Storage,Windows,10,1.15kg,"304,45",Intel,Intel,1366,768,1.1
Lenovo,ThinkPad P51,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Windows,10,2.67kg,"1925,00",Nvidia,Intel,1920,1080,2.8
Lenovo,Thinkpad T470p,14.0,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Windows,10,1.7kg,"1943,00",Nvidia,Intel,2560,1440,2.8
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.1kg,"469,00",AMD,Intel,1920,1080,2.0
Acer,Aspire R7,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Windows,10,1.6kg,"789,01",Intel,Intel,1920,1080,2.5
Asus,ZenBook Flip,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.27kg,"928,00",Intel,Intel,1920,1080,2.5
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Linux,Version Unknown,2.3kg,"598,90",AMD,Intel,1920,1080,2.5
Dell,Latitude 3380,13.3,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Windows,10,1.65kg,"689,00",Intel,Intel,1366,768,2.0
HP,EliteBook 1040,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Windows,10,1.43kg,"1500,00",Intel,Intel,1920,1080,2.5
Dell,Inspiron 3567,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,2.14kg,"539,95",Intel,Intel,1366,768,2.5
Lenovo,ThinkPad E480,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.75kg,"1215,38",AMD,Intel,1920,1080,1.8
Lenovo,Yoga 720-15IKB,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Windows,10,2kg,"1899,00",Nvidia,Intel,3840,2160,2.8
Chuwi,LapBook 12.3,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6,64GB Flash Storage,Windows,10,1.4kg,"449,00",Intel,Intel,2736,1824,1.1
HP,ProBook 650,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256GB SSD,Windows,10,2.31kg,"1427,00",Intel,Intel,1920,1080,2.9
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Linux,Version Unknown,2.3kg,"597,00",Nvidia,Intel,1920,1080,2.4
Dell,Alienware 17,17.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16,256GB SSD +  1TB HDD,Windows,10,4.42kg,"2799,00",Nvidia,Intel,2560,1440,2.9
Dell,Inspiron 7577,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.62kg,"1159,00",Nvidia,Intel,1920,1080,2.8
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  2TB HDD,Windows,10,2.02kg,"1142,40",AMD,Intel,1920,1080,1.8
Dell,Latitude 5480,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,256GB SSD,Linux,Version Unknown,1.6kg,"1099,00",Intel,Intel,1920,1080,2.8
HP,Omen 17-w207nv,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,256GB SSD +  1TB HDD,Windows,10,3.35kg,"1999,00",Nvidia,Intel,1920,1080,2.8
Mediacom,FlexBook Edge,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32GB SSD,Windows,10,1.16kg,"299,00",Intel,Intel,1920,1080,1.1
Samsung,Chromebook 3,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,16GB Flash Storage,Chrome OS,Version Unknown,1.15kg,"269,00",Intel,Intel,1366,768,1.6
Lenovo,Thinkpad 13,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.4kg,"1010,00",Intel,Intel,1920,1080,2.7
Lenovo,IdeaPad 320s-14IKB,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,128GB SSD,Windows,10,1.7kg,"599,00",Intel,Intel,1920,1080,2.7
Lenovo,Thinkpad T570,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16,512GB SSD,Windows,10,2.3kg,"2445,00",Nvidia,Intel,3840,2160,2.8
Lenovo,Thinkpad P51,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,512GB SSD,Windows,10,2.5kg,"2449,00",Nvidia,Intel,1920,1080,2.9
Asus,Rog Strix,17.3,Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8,256GB SSD +  1TB HDD,Windows,10,3.2kg,"1695,00",AMD,AMD,1920,1080,3.2
HP,15-ra044nv (N3060/4GB/500GB/W10),15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Windows,10,2.1kg,"347,00",Intel,Intel,1366,768,1.6
Google,Pixelbook (Core,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16,512GB SSD,Chrome OS,Version Unknown,1.1kg,"2199,00",Intel,Intel,2400,1600,1.3
Lenovo,ThinkPad T470s,14.0,2560x1440,Intel Core i7 7500U 2.7GHz,24,512GB SSD,Windows,10,1.32kg,"2382,00",Intel,Intel,2560,1440,2.7
Asus,VivoBook Max,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Linux,Version Unknown,2kg,"559,00",Intel,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15AST,17.3,1600x900,AMD A6-Series 9220 2.5GHz,8,1TB HDD,Windows,10,2.8kg,"519,00",AMD,AMD,1600,900,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Windows,10,2.2kg,"749,00",AMD,Intel,1920,1080,1.6
Lenovo,ThinkPad X270,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.36kg,"1429,00",Intel,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15IAP,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4,128GB SSD,Windows,10,2.2kg,"349,00",Intel,Intel,1920,1080,1.1
HP,Omen 15-AX205na,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.2kg,"1099,00",Nvidia,Intel,1920,1080,2.8
Dell,Latitude 5480,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Windows,10,1.64kg,"1179,00",Nvidia,Intel,1920,1080,2.8
Acer,Aspire ES1-572,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Linux,Version Unknown,2.4kg,"441,80",Intel,Intel,1366,768,2.5
Dell,Precision 3520,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,8,64GB Flash Storage +  1TB HDD,Windows,10,2.23kg,"1993,00",Nvidia,Intel,1920,1080,3.0
Micro-Star International,GV62 7RD-1686NL,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.2kg,"1027,74",Nvidia,Intel,1920,1080,2.5
Microsoft,Surface Laptop,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16,512GB SSD,Windows,10 S,1.25kg,"2589,00",Intel,Intel,2256,1504,2.5
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,128GB SSD,Windows,10,1.91kg,"589,00",Intel,Intel,1366,768,2.5
Dell,Precision 3520,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16,256GB SSD,Windows,10,2.17kg,"1975,00",Nvidia,Intel,1920,1080,2.7
HP,ProBook 650,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,512GB SSD,Windows,10,2.31kg,"1534,00",Intel,Intel,1920,1080,2.9
Lenovo,ThinkPad T470,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.65kg,"1345,00",Intel,Intel,1920,1080,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.36kg,"979,00",AMD,Intel,1920,1080,1.8
Dell,Inspiron 3168,11.6,Touchscreen 1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,500GB HDD,Windows,10,1.47kg,"479,00",Intel,Intel,1366,768,1.6
